,song_id,duration_mins,popularity,danceability,energy,acousticness,valence,tempo,song,performer,peak_position,year,total_charting_weeks,top10
1265,iKendrick Lamar,3.86555,65.0,76.1,88.6,1.96,89.0,121.91,i,Kendrick Lamar,39.0,2014,11.0,False
1266,Mr. BrightsideThe Killers,3.709766666666667,78.0,33.0,93.60000000000001,0.108,23.400000000000002,148.112,Mr. Brightside,The Killers,10.0,2005,38.0,True
1267,I'm So PaidAkon Featuring Lil Wayne & Young Jeezy,4.394,58.0,53.0,85.6,11.600000000000001,54.7,122.636,I'm So Paid,Akon Featuring Lil Wayne & Young Jeezy,31.0,2008,20.0,False
1268,I Will Not BowBreaking Benjamin,3.612216666666667,72.0,54.300000000000004,95.19999999999999,0.019200000000000002,59.099999999999994,107.942,I Will Not Bow,Breaking Benjamin,40.0,2009,20.0,False
1269,I'm Going InDrake Featuring Lil Wayne & Young Jeezy,2.108833333333333,15.0,47.099999999999994,72.39999999999999,0.034,5.7,120.673,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,40.0,2009,17.0,False
1270,Halo / Walking On SunshineGlee Cast,2.08355,54.0,24.2,91.0,6.79,25.3,193.886,Halo / Walking On Sunshine,Glee Cast,40.0,2009,2.0,False
1271,Good MorningChamillionaire,3.542,50.0,67.9,81.69999999999999,4.9399999999999995,36.1,88.064,Good Morning,Chamillionaire,40.0,2009,3.0,False
1272,Just The Way You AreGlee Cast,3.60155,50.0,60.6,71.89999999999999,0.865,36.6,108.986,Just The Way You Are,Glee Cast,40.0,2010,1.0,False
1273,Feel Like A Rock StarKenny Chesney & Tim McGraw,3.470666666666667,44.0,47.5,89.60000000000001,0.318,86.8,169.999,Feel Like A Rock Star,Kenny Chesney & Tim McGraw,40.0,2012,7.0,False
1274,HallelujahPanic! At The Disco,3.0104333333333333,67.0,57.8,88.6,1.0999999999999999,61.5,80.008,Hallelujah,Panic! At The Disco,40.0,2015,1.0,False
1275,One Love (People Get Ready)Glee Cast,2.5717666666666665,43.0,71.89999999999999,52.1,27.500000000000004,82.8,80.534,One Love (People Get Ready),Glee Cast,41.0,2010,1.0,False
1276,Hit The QuaniLoveMemphis,3.018,58.0,74.1,48.8,0.0235,62.5,160.018,Hit The Quan,iLoveMemphis,15.0,2015,17.0,False
